p,cc,dfr
8053,3418173,0.995000
8069,3563756,0.990000
8093,3410934,0.987000
8117,3567605,0.981000
8123,3558656,0.988000
8147,3521997,0.979000
8171,3455505,0.983000
8179,3465600,0.965000
8219,3435112,0.963000
8221,3519396,0.959000
8237,3510233,0.952000
8243,3471680,0.947000
8269,3524911,0.936000
8291,3461610,0.931000
8293,3416656,0.927000
8363,3464595,0.858000
8387,3511078,0.838000
8429,3423378,0.819000
8443,3488290,0.798000
8467,3432838,0.764000
8539,3391967,0.666000
8563,3427440,0.635000
8573,3392421,0.635000
8597,3392512,0.617000
8627,3384163,0.548000
8669,3377360,0.466000
8677,3356126,0.479000
8693,3344407,0.432000
8699,3331115,0.421000
8731,3324750,0.357000
8741,3386325,0.389000
8747,3341715,0.360000
8803,3326871,0.304000
8819,3351120,0.272000
8821,3307974,0.252000
8837,3298910,0.238000
8861,3262117,0.210000
8867,3295403,0.213000
8923,3250546,0.146000
8933,3262120,0.144000
8963,3241986,0.138000
8971,3235508,0.107000
9011,3227191,0.068000
9029,3234186,0.063000
9059,3206994,0.050000
9173,3146265,0.026000
9181,3167368,0.037000
9203,3162197,0.013000
9221,3174770,0.016000
9227,3134638,0.013000
9283,3137753,0.006000
9293,3154176,0.012000
9323,3102078,0.005000
9341,3113406,0.005000
9349,3136250,0.003000
9371,3096626,0.003000
9397,3111258,0.001000
9419,3090500,0.004000
9421,3121949,0.001000
9437,3079836,0.004000
9467,3088044,0.002000
9491,3104212,0.001000
9533,3086886,0.001000
9539,3073973,0.000000
9547,3068676,0.001000
9587,3083099,0.000000
9613,3149085,0.000000
9619,3080840,0.000000
9629,3087913,0.000000
9643,3083768,0.000000
9661,3073477,0.000000
9677,3103851,0.000000
9733,3123059,0.000000
9749,3051689,0.000000
9803,3104662,0.000000
9851,3039639,0.000000
9859,3040140,0.000000
9883,3045819,0.000000
9901,3084012,0.000000
9907,3103690,0.000000
9923,3067929,0.000000
9941,3065427,0.000000
9949,3043582,0.000000
10037,3073586,0.000000
10067,3041382,0.000000
10069,3068581,0.000000
10091,3042513,0.000000
10093,3061592,0.000000
10099,3064376,0.000000
10133,3039805,0.000000
10139,3043874,0.000000
10141,3044159,0.000000
10163,3080735,0.000000
10181,3057227,0.000000
10253,3086652,0.000000
10259,3032903,0.000000
10267,3082078,0.000000
10301,3055283,0.000000
10331,3045630,0.000000
10357,3043951,0.000000
10427,3039215,0.000000
10459,3057954,0.000000
10477,3092682,0.000000
10499,3038575,0.000000
10501,3059335,0.000000
10589,3021468,0.000000
10613,3086493,0.000000
10667,3051901,0.000000
10691,3056106,0.000000
10709,3044936,0.000000
10723,3058307,0.000000
10733,3068638,0.000000
10789,3055549,0.000000
10837,3056985,0.000000
10853,3116991,0.000000
10859,3058908,0.000000
10861,3078640,0.000000
10867,3098833,0.000000
10883,3045935,0.000000
10891,3057404,0.000000
10909,3065932,0.000000
10949,3075734,0.000000
10973,3034355,0.000000
10979,3077099,0.000000
10987,3107095,0.000000
