p,cc,dfr
8053,2492219,0.998000
8069,2490172,0.998000
8093,2487271,0.995000
8117,2496791,0.992000
8123,2480495,0.997000
8147,2514704,0.992000
8171,2518377,0.991000
8179,2501597,0.983000
8219,2487001,0.978000
8221,2469571,0.981000
8237,2518190,0.974000
8243,2499218,0.972000
8269,2512998,0.961000
8291,2515036,0.955000
8293,2473768,0.957000
8363,2478300,0.922000
8387,2517048,0.913000
8429,2508356,0.882000
8443,2493374,0.878000
8467,2496687,0.853000
8539,2539049,0.766000
8563,2498744,0.756000
8573,2517599,0.730000
8597,2524132,0.729000
8627,2482607,0.674000
8669,2496142,0.598000
8677,2539240,0.607000
8693,2548156,0.563000
8699,2491030,0.538000
8731,2534686,0.488000
8741,2491149,0.548000
8747,2531552,0.496000
8803,2514906,0.424000
8819,2522526,0.404000
8821,2657462,0.363000
8837,2525512,0.352000
8861,2522233,0.329000
8867,2525379,0.336000
8923,2535666,0.256000
8933,2503327,0.239000
8963,2519675,0.218000
8971,2541368,0.193000
9011,2522417,0.138000
9029,2517719,0.135000
9059,2512249,0.127000
9173,2532431,0.062000
9181,2519836,0.078000
9203,2511282,0.044000
9221,2534374,0.048000
9227,2545973,0.028000
9283,2565715,0.023000
9293,2512425,0.028000
9323,2574110,0.018000
9341,2562031,0.017000
9349,2544476,0.010000
9371,2516601,0.009000
9397,2557433,0.007000
9419,2568126,0.008000
9421,2557531,0.004000
9437,2521282,0.006000
9467,2522063,0.004000
9491,2537556,0.003000
9533,2567182,0.003000
9539,2553744,0.001000
9547,2571209,0.003000
9587,2557338,0.000000
9613,2534731,0.000000
9619,2541615,0.002000
9629,2592158,0.002000
9643,2522885,0.001000
9661,2562808,0.000000
9677,2562037,0.000000
9733,2564331,0.001000
9749,2555742,0.000000
9803,2577890,0.000000
9851,2535452,0.000000
9859,2576600,0.000000
9883,2580375,0.000000
9901,2579897,0.000000
9907,2551115,0.000000
9923,2557405,0.000000
9941,2661691,0.000000
9949,2594745,0.000000
10037,2567224,0.000000
10067,2572536,0.000000
10069,2568223,0.000000
10091,2545665,0.000000
10093,2537551,0.000000
10099,2567011,0.000000
10133,2573904,0.000000
10139,2560873,0.000000
10141,2628628,0.000000
10163,2560367,0.000000
10181,2592062,0.000000
10253,2551916,0.000000
10259,2603670,0.000000
10267,2560803,0.000000
10301,2547764,0.000000
10331,2548182,0.000000
10357,2564696,0.000000
10427,2624796,0.000000
10459,2611055,0.000000
10477,2593490,0.000000
10499,2572724,0.000000
10501,2563418,0.000000
10589,2610544,0.000000
10613,2622495,0.000000
10667,2604025,0.000000
10691,2595607,0.000000
10709,2562757,0.000000
10723,2581622,0.000000
10733,2567546,0.000000
10789,2575755,0.000000
10837,2602710,0.000000
10853,2614957,0.000000
10859,2661044,0.000000
10861,2602781,0.000000
10867,2585262,0.000000
10883,2585389,0.000000
10891,2616185,0.000000
10909,2579901,0.000000
10949,2596528,0.000000
10973,2571327,0.000000
10979,2635532,0.000000
10987,2572299,0.000000
